shipment_id,region,transport_mode,warehouse,shipment_volume_kg,delivery_time_days,distance_km,transport_cost,fuel_cost,on_time_delivery
SHP-0348,North,Rail,WH-C,107.14,9.48,735.19,960.65,56.68,1
SHP-0349,South,Road,WH-A,98.22,7.19,369.24,995.89,10.0,1
SHP-0350,Central,Sea,WH-B,130.44,11.84,862.33,679.98,60.9,1
SHP-0351,South,Air,WH-B,136.7,4.14,221.4,3047.27,10.0,1
SHP-0352,South,Rail,WH-B,41.64,5.78,240.45,413.76,23.76,1
SHP-0353,North,Sea,WH-A,105.53,11.49,526.14,703.34,10.0,1
SHP-0354,West,Sea,WH-B,134.36,10.46,498.79,905.67,45.0,1
SHP-0355,South,Air,WH-A,73.38,5.83,349.34,1790.5,10.0,1
SHP-0356,East,Sea,WH-C,84.14,11.17,726.77,666.95,29.95,1
SHP-0357,West,Rail,WH-A,78.77,7.25,635.77,671.95,20.0,1
SHP-0358,Central,Rail,WH-C,80.27,7.24,743.9,527.09,14.6,1
SHP-0359,North,Rail,WH-A,119.63,8.55,464.47,913.81,26.96,0
SHP-0360,Central,Air,WH-C,169.4,4.77,658.02,3908.12,63.28,1
SHP-0361,West,Road,WH-B,148.07,8.75,397.86,1559.52,61.89,1
SHP-0362,West,Sea,WH-C,68.0,10.44,1320.59,539.15,74.09,0
SHP-0363,West,Sea,WH-B,95.1,9.87,333.61,576.95,35.1,1
SHP-0364,Central,Road,WH-B,59.73,8.05,1353.63,619.65,77.93,1
SHP-0365,West,Sea,WH-C,62.38,10.18,501.07,452.85,35.04,0
SHP-0366,Central,Road,WH-A,82.56,7.17,254.62,941.19,10.0,1
SHP-0367,West,Road,WH-A,61.66,5.21,950.21,620.5,55.19,1
SHP-0368,East,Air,WH-D,65.64,3.6,523.45,1487.71,36.85,1
SHP-0369,West,Road,WH-A,94.14,6.85,741.4,933.17,32.1,1
SHP-0370,Central,Air,WH-D,104.9,1.72,886.65,2439.37,47.6,1
SHP-0371,South,Sea,WH-A,103.71,13.18,579.53,677.53,31.0,1
SHP-0372,West,Road,WH-A,104.15,8.16,370.82,1267.04,32.79,1
SHP-0373,South,Road,WH-B,48.1,5.21,787.09,688.27,27.3,1
SHP-0374,East,Road,WH-D,60.31,4.62,492.93,648.73,26.34,1
SHP-0375,North,Rail,WH-A,86.4,8.45,684.86,623.05,66.35,0
SHP-0376,East,Sea,WH-D,131.73,11.47,175.25,611.55,27.1,1
SHP-0377,West,Rail,WH-B,209.7,10.68,610.67,1422.84,53.82,1
SHP-0378,South,Road,WH-B,96.73,6.76,362.66,916.96,20.31,1
SHP-0379,South,Rail,WH-D,114.76,9.15,1089.62,1034.65,64.74,1
SHP-0380,Central,Road,WH-B,45.78,7.29,664.53,576.57,51.58,1
SHP-0381,South,Air,WH-C,113.45,4.7,552.87,2615.46,53.81,1
SHP-0382,Central,Road,WH-C,184.61,6.92,622.3,1678.48,10.0,1
SHP-0383,North,Air,WH-B,60.21,4.65,305.13,1300.53,10.0,1
SHP-0384,West,Road,WH-C,66.57,7.88,1074.02,854.14,78.71,1
SHP-0385,Central,Sea,WH-A,121.22,14.81,1281.59,837.84,66.33,1
SHP-0386,North,Road,WH-D,85.94,5.05,595.02,894.14,22.65,1
SHP-0387,South,Rail,WH-A,34.27,7.4,1057.22,406.7,39.33,1
SHP-0388,South,Sea,WH-D,68.3,7.84,374.96,595.61,12.3,1
SHP-0389,North,Road,WH-B,151.53,8.16,336.09,1566.58,10.0,0
SHP-0390,South,Sea,WH-A,75.21,9.72,502.52,519.71,59.01,1
SHP-0391,North,Rail,WH-B,75.18,10.07,607.15,687.2,33.06,1
SHP-0392,Central,Road,WH-B,117.95,6.03,407.84,1444.39,21.56,1
SHP-0393,Central,Road,WH-D,98.2,4.63,637.87,827.22,43.9,1
SHP-0394,North,Air,WH-D,73.47,2.78,570.82,1727.96,45.83,1
SHP-0395,Central,Road,WH-D,64.68,3.69,305.15,670.58,30.97,1
SHP-0396,Central,Rail,WH-A,253.92,11.93,632.08,1916.28,50.87,1
SHP-0397,Central,Road,WH-C,140.66,4.96,745.83,1366.31,31.56,1
SHP-0398,East,Rail,WH-D,104.13,8.41,535.02,823.8,24.96,1
SHP-0399,West,Road,WH-D,106.96,4.34,856.86,1158.17,58.66,1
SHP-0400,South,Sea,WH-A,80.48,10.08,274.69,823.79,10.0,1
SHP-0401,East,Sea,WH-D,97.7,12.65,616.84,740.06,33.85,1
SHP-0402,Central,Sea,WH-A,76.87,10.8,280.97,463.96,21.44,1
SHP-0403,North,Air,WH-B,57.87,2.05,288.66,1271.77,27.65,1
SHP-0404,Central,Road,WH-D,99.33,6.55,364.0,1020.75,10.0,1
SHP-0405,West,Air,WH-D,74.06,3.35,313.5,1528.08,27.96,1
SHP-0406,Central,Road,WH-B,101.52,7.17,378.78,1063.79,17.33,1
SHP-0407,North,Road,WH-B,109.58,5.2,444.61,1200.57,35.07,1
SHP-0408,West,Road,WH-B,103.78,7.35,736.44,1003.55,52.16,1
SHP-0409,Central,Road,WH-D,55.85,2.7,422.35,673.47,47.35,1
SHP-0410,West,Air,WH-C,70.69,2.55,230.19,1644.86,32.96,1
SHP-0411,South,Rail,WH-C,74.67,7.28,851.7,550.37,67.04,1
SHP-0412,South,Road,WH-C,126.87,7.81,329.7,1333.15,39.79,1
SHP-0413,Central,Road,WH-D,124.06,7.06,479.05,1449.49,30.72,0
SHP-0414,West,Sea,WH-B,61.83,8.5,610.54,497.21,34.06,1
SHP-0415,North,Road,WH-D,47.61,4.52,542.3,534.54,42.92,1
SHP-0416,Central,Road,WH-B,214.16,8.88,833.14,2173.07,56.8,1
SHP-0417,South,Road,WH-D,102.06,6.55,620.13,1094.29,29.47,1
SHP-0418,South,Air,WH-D,44.92,2.14,325.89,980.66,24.0,1
SHP-0419,Central,Rail,WH-B,66.1,7.14,1402.08,368.71,76.59,1
SHP-0420,West,Road,WH-C,129.14,7.93,540.92,1553.23,16.94,0
SHP-0421,South,Road,WH-B,190.88,7.64,459.1,1964.86,44.61,0
SHP-0422,West,Rail,WH-A,176.89,9.58,782.65,1358.08,43.87,1
SHP-0423,South,Rail,WH-A,100.25,10.8,555.43,840.78,61.28,1
SHP-0424,South,Road,WH-B,85.12,4.69,596.83,827.03,10.0,1
SHP-0425,East,Sea,WH-D,53.57,7.83,1629.86,365.38,81.29,1
SHP-0426,South,Road,WH-A,88.19,7.29,431.79,825.08,24.24,0
SHP-0427,North,Road,WH-A,56.68,5.04,423.04,834.1,40.33,1
SHP-0428,Central,Sea,WH-D,70.98,9.91,521.11,386.73,34.65,1
SHP-0429,Central,Road,WH-D,121.17,6.08,824.13,1167.72,49.98,1
SHP-0430,West,Rail,WH-C,76.71,7.58,239.1,595.44,10.0,1
SHP-0431,South,Road,WH-D,74.52,7.98,191.82,967.49,10.0,0
SHP-0432,North,Road,WH-B,83.17,7.22,371.74,921.38,25.28,1
SHP-0433,West,Sea,WH-B,228.38,14.1,224.91,1170.32,10.0,1
SHP-0434,East,Road,WH-C,51.11,4.09,401.85,672.11,14.12,1
SHP-0435,West,Sea,WH-A,95.79,9.4,627.16,666.06,42.01,1
SHP-0436,West,Road,WH-A,169.95,4.59,321.32,1745.67,10.0,1
SHP-0437,South,Road,WH-D,83.07,5.36,248.42,950.09,37.74,1
SHP-0438,East,Road,WH-B,139.54,8.41,509.42,1692.52,46.38,1
SHP-0439,West,Rail,WH-A,46.22,7.93,745.47,639.77,17.43,0
SHP-0440,North,Road,WH-C,77.79,5.95,218.42,784.18,10.0,1
SHP-0441,North,Sea,WH-C,59.28,10.04,730.49,593.64,10.0,1
SHP-0442,Central,Road,WH-B,82.69,5.5,729.46,918.97,28.38,1
SHP-0443,East,Sea,WH-C,83.44,10.74,778.96,613.66,54.34,1
SHP-0444,East,Road,WH-C,87.15,7.25,884.37,806.13,42.43,1
SHP-0445,Central,Sea,WH-B,120.69,9.31,1417.95,695.43,84.9,0
SHP-0446,West,Air,WH-D,29.03,2.87,415.33,617.12,10.0,1
SHP-0447,East,Air,WH-D,64.84,4.24,519.36,1577.4,40.53,1
SHP-0448,North,Sea,WH-C,93.03,10.2,403.47,698.6,13.86,1
SHP-0449,North,Air,WH-D,35.02,3.44,493.22,645.62,27.31,1
SHP-0450,South,Rail,WH-D,110.15,11.72,1028.42,924.95,55.17,1
SHP-0451,East,Road,WH-C,64.32,5.84,258.37,817.08,10.0,1
SHP-0452,West,Road,WH-D,78.42,6.66,325.93,848.16,10.0,0
SHP-0453,Central,Sea,WH-C,123.02,10.37,954.37,805.81,67.01,0
SHP-0454,Central,Rail,WH-A,142.27,9.27,804.01,1123.21,50.21,1
SHP-0455,West,Air,WH-B,111.58,4.54,413.93,2567.09,38.52,1
SHP-0456,South,Road,WH-B,50.48,5.93,742.57,561.97,45.71,1
SHP-0457,Central,Road,WH-D,109.22,5.59,580.44,1028.8,34.07,1
SHP-0458,East,Road,WH-D,112.33,7.06,1012.45,1093.3,29.79,1
SHP-0459,South,Rail,WH-D,103.09,10.04,510.69,914.58,24.03,1
SHP-0460,East,Road,WH-B,152.21,8.06,806.18,1592.79,43.93,1
SHP-0461,North,Road,WH-A,88.12,7.49,1751.39,959.56,125.62,1
SHP-0462,South,Road,WH-A,149.68,7.22,656.61,1513.76,46.42,1
SHP-0463,Central,Road,WH-B,149.28,8.35,504.56,1541.01,50.79,1
SHP-0464,South,Rail,WH-A,113.68,8.87,696.99,992.73,47.3,0
SHP-0465,South,Road,WH-B,96.43,5.44,413.5,983.9,12.07,1
SHP-0466,South,Air,WH-A,103.34,4.23,1550.33,2228.82,87.03,1
SHP-0467,South,Road,WH-C,166.4,6.65,537.23,1767.55,33.09,1
SHP-0468,East,Road,WH-C,131.66,6.44,432.24,1348.31,10.0,1
SHP-0469,North,Road,WH-B,53.1,5.97,329.93,614.8,12.38,1
SHP-0470,West,Road,WH-A,100.59,6.95,834.36,1225.45,42.8,1
SHP-0471,South,Road,WH-D,57.97,4.48,747.14,629.41,65.18,1
SHP-0472,Central,Road,WH-A,63.5,7.16,388.1,758.08,10.0,1
SHP-0473,South,Rail,WH-C,72.19,8.46,649.82,515.39,53.83,1
SHP-0474,Central,Road,WH-C,44.3,4.79,238.86,487.27,10.0,0
SHP-0475,East,Rail,WH-A,56.35,5.75,538.5,524.54,10.0,1
SHP-0476,Central,Sea,WH-A,155.82,11.64,612.36,770.68,51.38,0
SHP-0477,West,Air,WH-D,63.33,2.63,1118.25,1458.69,72.48,0
SHP-0478,North,Road,WH-D,120.98,7.11,340.36,1286.34,37.54,1
SHP-0479,Central,Road,WH-A,91.49,6.03,266.77,981.42,26.68,1
SHP-0480,Central,Road,WH-A,107.22,4.42,320.6,1191.52,48.53,1
SHP-0481,North,Road,WH-A,109.15,6.32,259.42,1180.78,22.65,1
SHP-0482,West,Sea,WH-A,55.27,9.64,935.98,555.34,49.13,1
SHP-0483,South,Road,WH-B,120.68,7.7,1036.23,1195.65,62.14,1
SHP-0484,Central,Road,WH-A,48.22,4.86,574.62,557.87,50.26,1
SHP-0485,North,Rail,WH-D,62.2,9.55,885.56,583.81,37.02,1
SHP-0486,East,Air,WH-C,108.48,1.75,525.47,2321.95,19.12,1
SHP-0487,North,Rail,WH-B,53.71,8.97,470.76,596.73,21.26,1
SHP-0488,East,Road,WH-A,33.53,5.15,419.95,620.38,10.0,1
SHP-0489,West,Road,WH-C,98.59,7.56,424.54,1071.25,25.42,1
SHP-0490,South,Road,WH-B,40.95,5.63,234.41,535.75,10.0,1
SHP-0491,North,Road,WH-C,112.82,8.14,559.39,1225.97,31.56,1
SHP-0492,Central,Road,WH-A,74.44,5.69,483.3,745.46,39.56,1
SHP-0493,West,Road,WH-A,98.0,5.3,704.7,862.51,31.61,1
SHP-0494,North,Road,WH-D,97.23,8.18,515.37,1007.44,53.5,1
SHP-0495,Central,Road,WH-A,116.38,6.76,455.73,1102.13,10.0,0
SHP-0496,North,Road,WH-A,109.83,7.03,324.35,1323.32,35.71,1
SHP-0497,East,Rail,WH-B,53.5,8.88,510.11,497.31,38.18,1
SHP-0498,North,Rail,WH-D,76.38,6.69,702.3,585.75,12.89,1
SHP-0499,North,Air,WH-B,97.95,4.45,284.63,2314.94,56.32,1
SHP-0500,North,Road,WH-C,150.84,6.84,513.88,1455.11,27.31,1
SHP-0501,West,Road,WH-A,110.26,6.63,551.07,1097.81,17.15,1
SHP-0502,North,Road,WH-C,145.19,7.5,349.09,1520.38,10.0,1
SHP-0503,Central,Rail,WH-B,100.13,6.58,371.6,861.81,17.14,1
SHP-0504,East,Air,WH-A,132.65,3.49,550.43,3026.32,28.36,1
SHP-0505,East,Road,WH-A,94.54,8.06,285.99,1065.46,17.27,1
SHP-0506,North,Sea,WH-B,130.33,12.36,582.87,816.06,27.59,1
SHP-0507,West,Road,WH-B,72.81,6.04,320.61,836.46,27.13,1
SHP-0508,West,Road,WH-B,158.36,7.93,820.71,1665.28,39.32,1
SHP-0509,Central,Air,WH-B,104.91,3.55,1513.47,2279.14,54.22,1
SHP-0510,North,Sea,WH-B,44.44,11.36,325.98,408.61,15.69,1
SHP-0511,East,Air,WH-A,99.34,3.56,636.78,2152.79,10.0,1
SHP-0512,West,Air,WH-B,110.41,4.25,347.64,2512.89,24.43,1
SHP-0513,North,Road,WH-A,122.45,8.32,812.13,1269.85,29.98,1
SHP-0514,West,Air,WH-A,182.15,4.38,268.45,4314.77,17.22,1
SHP-0515,West,Road,WH-B,67.91,7.81,620.6,782.23,53.84,1
SHP-0516,East,Sea,WH-B,182.69,10.53,324.07,885.23,10.0,1
SHP-0517,South,Road,WH-D,85.14,8.21,446.15,944.43,40.46,1
SHP-0518,Central,Air,WH-A,60.89,2.67,300.4,1434.41,10.02,1
SHP-0519,Central,Road,WH-B,68.54,5.75,731.23,905.36,66.52,1
SHP-0520,East,Rail,WH-B,107.64,6.26,329.72,759.37,12.66,1
SHP-0521,West,Road,WH-B,57.1,5.3,642.23,495.47,22.72,1
SHP-0522,North,Air,WH-D,73.35,2.12,417.73,1725.41,33.28,1
SHP-0523,West,Road,WH-D,98.29,5.87,466.4,915.21,19.12,1
SHP-0524,East,Road,WH-C,157.82,7.48,528.97,1594.75,16.47,1
SHP-0525,Central,Road,WH-A,120.96,8.08,341.83,1271.31,11.63,1
SHP-0526,West,Road,WH-C,86.61,6.6,545.1,935.29,29.31,1
SHP-0527,Central,Sea,WH-B,107.43,11.29,1027.17,748.65,76.63,1
SHP-0528,North,Road,WH-D,94.22,5.24,339.17,927.82,10.0,1
SHP-0529,Central,Sea,WH-D,50.16,8.89,864.77,361.1,47.91,0
SHP-0530,Central,Road,WH-C,169.76,9.92,1011.4,1790.05,65.0,1
SHP-0531,South,Road,WH-D,158.91,6.81,333.03,1645.82,21.22,1
SHP-0532,South,Air,WH-B,82.32,5.39,245.08,1916.7,33.13,1
SHP-0533,South,Rail,WH-D,69.6,7.47,569.6,626.15,30.21,1
SHP-0534,Central,Road,WH-C,50.66,5.71,378.89,660.04,18.07,1
SHP-0535,East,Rail,WH-B,110.29,9.72,1208.25,927.08,75.34,1
SHP-0536,Central,Air,WH-C,110.59,5.45,501.05,2571.96,29.05,1
SHP-0537,East,Road,WH-D,59.16,5.74,335.27,522.89,12.58,1
SHP-0538,East,Sea,WH-C,94.69,10.26,284.11,615.28,23.37,1
SHP-0539,South,Sea,WH-C,119.36,11.08,831.44,779.79,35.94,0
SHP-0540,West,Rail,WH-A,67.58,8.11,374.59,650.77,11.43,1
SHP-0541,North,Road,WH-D,78.01,7.23,503.23,808.91,19.76,1
SHP-0542,South,Rail,WH-D,77.69,7.9,779.6,587.91,63.17,1
SHP-0543,South,Road,WH-C,60.78,6.61,390.55,644.62,10.0,1
SHP-0544,West,Road,WH-A,78.69,8.1,482.0,941.65,32.44,0
SHP-0545,North,Road,WH-D,41.28,5.98,488.85,592.84,27.4,1
SHP-0546,Central,Road,WH-B,75.98,6.53,684.03,802.56,12.41,1
SHP-0547,Central,Sea,WH-C,76.47,8.63,654.29,581.18,40.63,1
SHP-0548,South,Air,WH-D,82.75,1.0,443.34,1849.69,31.52,1
SHP-0549,North,Air,WH-B,104.03,4.32,508.04,2355.24,36.79,1
SHP-0550,South,Road,WH-D,48.91,5.57,412.22,545.89,10.0,1
SHP-0551,East,Road,WH-B,52.86,5.16,242.44,662.22,33.83,1
SHP-0552,South,Road,WH-C,60.12,6.16,557.6,711.33,19.6,1
SHP-0553,South,Sea,WH-D,46.75,9.77,1222.01,591.08,77.51,1
SHP-0554,Central,Road,WH-D,109.06,8.06,322.41,1104.41,28.85,1
SHP-0555,Central,Sea,WH-A,66.33,10.29,340.0,530.37,10.0,1
SHP-0556,Central,Rail,WH-C,83.85,7.15,324.42,626.11,27.75,1
SHP-0557,East,Road,WH-B,57.95,6.98,697.71,597.92,32.59,1
SHP-0558,Central,Air,WH-D,72.55,3.06,611.11,1650.07,10.0,1
SHP-0559,North,Road,WH-D,96.62,7.14,456.64,1058.82,42.63,1
SHP-0560,West,Sea,WH-B,98.6,10.23,317.14,890.4,10.0,1
SHP-0561,North,Sea,WH-C,53.83,9.22,515.09,391.64,15.51,0
SHP-0562,North,Road,WH-A,82.08,6.37,232.52,792.75,10.0,1
SHP-0563,Central,Road,WH-A,58.37,5.87,527.87,684.63,33.12,1
SHP-0564,West,Rail,WH-D,80.79,8.51,748.7,491.53,40.32,1
SHP-0565,West,Sea,WH-B,63.99,9.84,270.27,456.84,23.09,1
SHP-0566,West,Road,WH-D,174.49,5.83,236.13,1764.04,10.0,1
SHP-0567,East,Rail,WH-B,119.07,8.15,1051.67,992.07,46.71,1
SHP-0568,Central,Rail,WH-A,100.42,9.22,367.36,906.32,18.47,1
SHP-0569,West,Air,WH-C,75.21,3.01,850.02,1663.57,75.22,1
SHP-0570,East,Road,WH-B,120.54,6.69,457.64,1251.89,23.46,1
SHP-0571,South,Air,WH-A,83.09,4.63,455.89,1842.39,41.35,1
SHP-0572,South,Sea,WH-D,166.65,11.18,608.16,849.67,34.03,1
SHP-0573,East,Road,WH-B,125.67,5.29,322.36,1316.95,10.48,1
SHP-0574,East,Road,WH-C,72.32,5.92,525.11,678.96,25.18,1
SHP-0575,Central,Sea,WH-D,158.33,11.29,410.3,878.43,20.04,1
SHP-0576,Central,Road,WH-D,75.38,5.05,261.43,717.33,23.43,1
SHP-0577,South,Sea,WH-A,178.97,12.02,579.4,1071.2,52.49,1
SHP-0578,West,Road,WH-B,162.01,8.28,434.25,1850.27,29.28,1
SHP-0579,South,Road,WH-D,96.39,6.52,456.97,916.05,42.94,0
SHP-0580,West,Sea,WH-C,41.94,10.11,275.65,203.89,10.0,1
SHP-0581,West,Road,WH-B,93.25,8.56,1057.72,1028.79,51.96,1
SHP-0582,Central,Road,WH-C,51.48,5.33,750.56,586.41,30.42,1
SHP-0583,North,Road,WH-D,64.81,6.29,782.74,748.52,47.77,1
SHP-0584,North,Rail,WH-C,66.88,7.12,425.55,522.71,18.02,1
SHP-0585,East,Road,WH-A,51.29,4.75,214.86,554.68,22.76,1
SHP-0586,Central,Road,WH-C,93.4,5.81,1258.15,1024.92,55.23,1
SHP-0587,West,Sea,WH-B,61.59,9.56,478.51,542.86,26.96,1
SHP-0588,North,Road,WH-C,76.84,6.6,343.98,672.81,29.22,1
SHP-0589,West,Rail,WH-C,67.13,10.41,601.88,590.49,10.0,1
SHP-0590,North,Road,WH-A,104.22,5.85,862.83,1114.68,79.28,1
SHP-0591,North,Air,WH-C,101.04,3.34,487.33,2200.31,22.56,1
SHP-0592,North,Road,WH-C,74.25,6.06,910.25,970.32,19.69,1
SHP-0593,Central,Sea,WH-D,106.42,11.37,828.68,626.36,47.95,1
SHP-0594,South,Road,WH-D,139.82,7.62,293.93,1461.77,16.67,1
SHP-0595,West,Road,WH-B,31.48,6.84,356.59,472.31,18.38,1
SHP-0596,Central,Road,WH-D,65.51,3.19,780.25,626.48,57.78,1
SHP-0597,Central,Road,WH-D,55.58,3.06,134.01,416.86,18.58,0
SHP-0598,Central,Road,WH-D,63.04,5.36,458.64,656.89,29.69,1
SHP-0599,Central,Road,WH-D,29.16,6.59,247.94,488.21,20.39,1
SHP-0600,Central,Sea,WH-A,30.95,7.76,392.0,248.57,19.99,1
SHP-0601,East,Road,WH-D,22.57,1.75,426.91,169.68,50.11,1
SHP-0602,West,Road,WH-A,68.1,6.68,414.9,850.51,10.0,1
SHP-0603,Central,Rail,WH-A,67.28,7.99,378.01,551.38,22.89,1
SHP-0604,West,Air,WH-D,148.45,3.42,291.01,3281.51,16.98,1
SHP-0605,East,Road,WH-C,90.31,5.29,1480.47,966.66,93.63,1
SHP-0606,East,Road,WH-A,30.8,4.24,1207.59,438.23,53.76,0
SHP-0607,West,Road,WH-C,105.27,6.82,282.08,1337.19,10.0,1
SHP-0608,North,Air,WH-C,341.52,7.43,1053.02,7721.54,60.27,0
SHP-0609,South,Rail,WH-D,31.53,7.64,406.77,446.77,26.59,1
SHP-0610,North,Road,WH-B,167.89,4.54,524.27,1631.15,51.18,1
SHP-0611,North,Sea,WH-D,83.34,9.51,478.01,453.97,10.0,1
SHP-0612,North,Air,WH-B,70.47,1.97,359.0,1591.42,37.07,1
SHP-0613,Central,Rail,WH-B,65.95,7.39,790.17,571.39,78.97,1
SHP-0614,East,Sea,WH-D,97.77,10.14,523.44,525.44,23.12,1
SHP-0615,North,Road,WH-D,70.72,6.99,392.0,781.93,10.0,1
SHP-0616,East,Road,WH-B,50.67,3.57,263.43,581.63,10.0,1
SHP-0617,West,Road,WH-D,67.0,6.06,320.88,777.98,17.86,1
SHP-0618,South,Road,WH-B,98.96,7.22,224.11,1115.49,20.78,1
SHP-0619,West,Road,WH-C,113.11,8.97,495.65,1262.23,18.39,1
SHP-0620,West,Sea,WH-D,175.49,11.6,277.44,952.96,38.59,1
SHP-0621,Central,Road,WH-C,88.66,6.77,433.78,917.87,10.0,1
SHP-0622,South,Road,WH-A,143.4,5.31,951.13,1349.91,26.22,1
SHP-0623,West,Road,WH-C,78.07,3.45,876.26,964.49,64.8,1
SHP-0624,West,Sea,WH-C,82.67,11.46,485.17,579.48,10.0,1
SHP-0625,South,Road,WH-B,80.81,6.25,472.58,859.93,22.93,1
SHP-0626,South,Road,WH-C,93.17,7.83,1214.81,942.5,113.58,1
SHP-0627,West,Road,WH-D,121.68,5.41,632.68,1517.58,34.62,1
SHP-0628,South,Road,WH-B,69.48,6.65,421.01,683.1,10.0,1
SHP-0629,West,Sea,WH-A,56.84,12.17,248.52,436.29,12.81,1
SHP-0630,West,Sea,WH-D,125.86,11.75,595.3,815.26,31.98,1
SHP-0631,Central,Road,WH-A,122.01,7.31,733.68,1344.79,42.76,1
SHP-0632,North,Sea,WH-C,153.17,11.77,363.87,987.26,29.95,1
SHP-0633,West,Rail,WH-D,64.93,5.86,566.67,690.22,15.58,1
SHP-0634,East,Sea,WH-D,76.88,11.94,413.84,606.47,48.07,1
SHP-0635,North,Road,WH-A,127.9,6.4,451.09,1235.19,28.49,1
SHP-0636,North,Road,WH-D,69.13,6.62,149.28,752.87,19.11,1
SHP-0637,North,Road,WH-D,111.08,5.0,442.99,1173.0,14.94,0
SHP-0638,Central,Rail,WH-D,78.22,6.55,784.7,812.47,62.45,1
SHP-0639,West,Road,WH-C,97.55,8.21,363.92,948.61,16.16,1
SHP-0640,Central,Road,WH-A,50.24,5.3,505.33,681.01,31.96,1
SHP-0641,West,Road,WH-D,88.17,8.06,342.8,998.9,10.0,1
SHP-0642,Central,Air,WH-B,20.04,2.27,585.82,557.15,17.27,1
SHP-0643,Central,Road,WH-B,138.61,5.18,444.11,1400.8,34.75,1
SHP-0644,East,Rail,WH-B,117.34,9.64,313.93,860.4,10.61,1
SHP-0645,Central,Sea,WH-B,55.26,9.32,934.14,483.93,38.57,1
SHP-0646,South,Road,WH-C,169.26,8.65,769.61,1822.61,32.68,1
SHP-0647,East,Rail,WH-D,134.94,8.96,368.58,1125.85,30.76,1
SHP-0648,Central,Road,WH-A,51.25,3.95,625.74,556.77,24.98,1
SHP-0649,North,Sea,WH-D,67.19,10.4,637.76,435.56,33.31,1
SHP-0650,South,Road,WH-C,52.49,8.27,670.69,507.26,37.11,1
SHP-0651,South,Rail,WH-B,98.71,8.84,218.49,874.56,10.0,1
SHP-0652,South,Sea,WH-C,65.94,10.12,798.85,517.03,21.87,1
SHP-0653,East,Sea,WH-D,34.4,10.86,374.86,263.26,25.66,1
SHP-0654,Central,Rail,WH-A,82.51,8.23,414.99,635.91,11.77,0
SHP-0655,Central,Road,WH-C,123.72,7.27,1747.92,1264.12,111.99,1
SHP-0656,North,Rail,WH-A,88.95,6.85,569.58,567.95,45.83,0
SHP-0657,North,Sea,WH-C,106.79,11.19,409.35,608.42,33.3,1
SHP-0658,South,Rail,WH-A,92.58,9.36,170.96,668.18,36.7,1
SHP-0659,North,Road,WH-A,115.26,5.91,960.15,1164.3,51.56,1
SHP-0660,East,Sea,WH-B,96.12,12.37,258.35,588.67,23.94,1
SHP-0661,Central,Rail,WH-A,80.58,7.84,304.4,518.56,10.0,1
SHP-0662,South,Rail,WH-B,88.48,7.07,420.29,884.47,59.9,1
SHP-0663,North,Road,WH-D,155.65,8.75,972.51,1748.9,83.24,0
SHP-0664,East,Rail,WH-D,109.37,8.14,714.19,787.29,39.46,1
SHP-0665,East,Road,WH-B,55.18,6.67,456.8,668.72,30.92,1
SHP-0666,North,Rail,WH-B,87.88,7.75,571.34,748.25,51.81,1
SHP-0667,Central,Road,WH-C,97.96,6.49,369.38,1154.72,18.11,1
SHP-0668,North,Rail,WH-C,79.44,8.5,526.91,595.63,19.13,1
SHP-0669,South,Sea,WH-C,34.47,9.96,510.4,432.61,41.18,1
SHP-0670,North,Road,WH-D,57.62,3.54,784.47,561.85,44.32,1
SHP-0671,East,Sea,WH-C,70.81,8.99,783.87,360.13,45.86,1
SHP-0672,North,Road,WH-A,177.94,9.07,624.6,1918.85,21.84,1
SHP-0673,Central,Sea,WH-A,104.31,10.73,414.09,778.64,10.0,1
SHP-0674,West,Air,WH-C,41.3,2.14,703.5,1180.13,42.23,1
SHP-0675,North,Rail,WH-A,81.61,6.41,471.47,537.82,39.51,1
SHP-0676,Central,Air,WH-D,145.02,3.37,293.15,3313.99,12.74,1
SHP-0677,Central,Sea,WH-A,65.54,7.85,406.03,399.41,43.88,1
SHP-0678,East,Road,WH-D,129.99,7.02,513.15,1431.8,17.66,1
SHP-0679,Central,Road,WH-B,41.88,4.87,762.73,353.1,26.13,1
SHP-0680,Central,Rail,WH-B,21.65,5.78,451.2,131.06,23.81,1
SHP-0681,Central,Air,WH-B,138.31,4.41,275.77,3052.37,13.93,1
SHP-0682,Central,Air,WH-B,69.24,3.66,506.35,1596.29,39.4,1
SHP-0683,South,Air,WH-A,35.14,5.04,520.33,806.14,16.99,1
SHP-0684,South,Road,WH-C,71.61,4.35,538.72,817.93,50.15,1
SHP-0685,East,Air,WH-A,92.22,4.99,766.27,2211.06,71.65,1
SHP-0686,North,Road,WH-D,102.75,7.77,803.59,1169.88,43.61,1
SHP-0687,Central,Road,WH-A,25.69,4.37,370.47,468.36,39.12,1
SHP-0688,North,Road,WH-A,63.32,6.17,366.59,750.1,10.0,1
SHP-0689,North,Road,WH-D,87.19,5.84,299.08,823.94,32.58,1
SHP-0690,East,Road,WH-B,102.65,6.86,689.13,1221.35,53.61,1
SHP-0691,Central,Road,WH-B,54.9,7.52,987.75,602.48,67.28,1
SHP-0692,Central,Rail,WH-B,77.66,8.59,423.59,741.44,23.06,1
SHP-0693,West,Road,WH-C,65.45,6.56,438.83,881.52,10.0,1
SHP-0694,North,Road,WH-D,93.54,5.99,996.31,1037.57,45.17,1
